num_gen,fitness_1,fitness_2,fitness_3,fitness_4,fitness_5,fitness_6,fitness_7,fitness_8,fitness_9,
1,103513.100155,227.101394,130082.214383,128604.427243,26.727258,23.091326,26.727258,23.187011,155294.822173,
2,103513.100155,227.101394,130082.214383,128604.427243,26.727258,23.091326,26.727258,23.187011,155294.822173,
3,103513.100155,227.101394,130082.214383,128604.427243,26.727258,23.091326,26.727258,23.187011,155294.822173,
4,103513.100155,227.101394,130082.214383,128604.427243,26.727258,23.091326,26.727258,23.187011,155294.822173,
5,103513.100155,227.101394,130082.214383,128604.427243,26.727258,23.091326,26.727258,23.187011,155294.822173,
6,103515.849986,227.168741,130086.621417,128607.688639,26.735838,23.100566,26.735838,23.195567,155298.627735,
7,103515.849986,227.168741,130086.621417,128607.688639,26.735838,23.100566,26.735838,23.195567,155298.627735,
8,103548.077323,227.250517,130086.793395,128639.790685,26.740574,23.106896,26.740574,23.196484,155330.596506,
9,103503.245128,227.199369,130077.244230,128621.694624,26.737809,23.114077,26.737809,23.195967,155340.940470,
10,103503.245128,227.199369,130077.244230,128621.694624,26.737809,23.114077,26.737809,23.195967,155340.940470,
11,103503.245128,227.199369,130077.244230,128621.694624,26.737809,23.114077,26.737809,23.195967,155340.940470,
12,103556.671072,227.615362,130055.053078,128674.335352,26.779031,23.202548,26.779031,23.238725,155392.745941,
13,103561.037396,227.687926,130041.916463,128678.663436,26.788662,23.211773,26.788662,23.241153,155397.033348,
14,103561.644985,227.725569,130041.499916,128680.904294,26.793458,23.211773,26.793458,23.241217,155401.011561,
15,103568.625149,227.368644,130095.306997,128734.894123,26.741438,23.041303,26.741438,23.099838,155505.006977,
16,103568.625149,227.368644,130095.306997,128734.894123,26.741438,23.041303,26.741438,23.099838,155505.006977,
17,103568.625149,227.368644,130095.306997,128734.894123,26.741438,23.041303,26.741438,23.099838,155505.006977,
18,103568.625149,227.368644,130095.306997,128734.894123,26.741438,23.041303,26.741438,23.099838,155505.006977,
19,103568.625149,227.368644,130095.306997,128734.894123,26.741438,23.041303,26.741438,23.099838,155505.006977,
20,103597.866182,225.173881,130154.362756,128817.548441,26.688722,23.135802,26.688722,23.202447,155644.478604,
21,103597.866182,225.173881,130154.362756,128817.548441,26.688722,23.135802,26.688722,23.202447,155644.478604,
22,103597.866182,225.173881,130154.362756,128817.548441,26.688722,23.135802,26.688722,23.202447,155644.478604,
23,103598.911285,225.188543,130152.834740,128818.339699,26.690401,23.134222,26.690401,23.201596,155644.999838,
24,103738.032778,227.637920,130223.849405,128941.184028,26.720951,22.964383,26.720951,22.971267,155750.529663,
25,103738.032778,227.637920,130223.849405,128941.184028,26.720951,22.964383,26.720951,22.971267,155750.529663,
26,103738.883848,227.628028,130211.812519,128944.142887,26.718773,22.971608,26.718773,22.971352,155755.730639,
27,103738.883848,227.628028,130211.812519,128944.142887,26.718773,22.971608,26.718773,22.971352,155755.730639,
28,103738.883848,227.628028,130211.812519,128944.142887,26.718773,22.971608,26.718773,22.971352,155755.730639,
29,103738.883848,227.628028,130211.812519,128944.142887,26.718773,22.971608,26.718773,22.971352,155755.730639,
30,103738.883848,227.628028,130211.812519,128944.142887,26.718773,22.971608,26.718773,22.971352,155755.730639,
31,103738.883848,227.628028,130211.812519,128944.142887,26.718773,22.971608,26.718773,22.971352,155755.730639,
32,103740.928664,227.674772,130213.489737,128946.887601,26.724091,22.971608,26.724091,22.971430,155759.219856,
33,103767.442151,227.783188,130222.807593,128970.488861,26.733402,22.978597,26.733402,22.972105,155779.723293,
34,103767.442151,227.783188,130222.807593,128970.488861,26.733402,22.978597,26.733402,22.972105,155779.723293,
35,103767.442151,227.783188,130222.807593,128970.488861,26.733402,22.978597,26.733402,22.972105,155779.723293,
36,103769.813228,227.818727,130225.674955,128973.679378,26.737413,22.978779,26.737413,22.972196,155783.785472,
37,103769.813228,227.818727,130225.674955,128973.679378,26.737413,22.978779,26.737413,22.972196,155783.785472,
38,103769.813228,227.818727,130225.674955,128973.679378,26.737413,22.978779,26.737413,22.972196,155783.785472,
39,103769.813228,227.818727,130225.674955,128973.679378,26.737413,22.978779,26.737413,22.972196,155783.785472,
40,103769.813228,227.818727,130225.674955,128973.679378,26.737413,22.978779,26.737413,22.972196,155783.785472,
41,103769.813228,227.818727,130225.674955,128973.679378,26.737413,22.978779,26.737413,22.972196,155783.785472,
