P1	P2	dij
p1_k100_c3_XXX00000000000000	p9_k293_c3_XXX00000000000000	5
p1_k151_c3_XXX00000000000000	p10_k12_c3_XXX00000000000000	5
p1_k151_c3_XXX00000000000000	p10_k62_c3_XXX00000000000000	5
p1_k151_c3_XXX00000000000000	p3_k84_c3_XXX000000000000000	5
p1_k151_c3_XXX00000000000000	p5_k225_c3_XXX00000000000000	5
p1_k151_c3_XXX00000000000000	p5_k250_c3_XXX00000000000000	60
p1_k151_c3_XXX00000000000000	p8_k250_c3_XXX00000000000000	60
p1_k17_c3_XXX000000000000000	p1_k225_c3_XXX00000000000000	5
p1_k17_c3_XXX000000000000000	p9_k293_c3_XXX00000000000000	5
p1_k225_c3_XXX00000000000000	p10_k62_c3_XXX00000000000000	5
p1_k225_c3_XXX00000000000000	p10_k69_c3_XXX00000000000000	5
p1_k225_c3_XXX00000000000000	p11_k103_c3_XXX0000000000000	5
p1_k225_c3_XXX00000000000000	p11_k228_c3_XXX0000000000000	5
p1_k225_c3_XXX00000000000000	p11_k255_c3_XXX0000000000000	60
p1_k225_c3_XXX00000000000000	p2_k223_c3_XXX00000000000000	5
p1_k225_c3_XXX00000000000000	p3_k231_c3_XXX00000000000000	5
p1_k225_c3_XXX00000000000000	p4_k62_c3_XXX000000000000000	5
p1_k225_c3_XXX00000000000000	p6_k150_c3_XXX00000000000000	60
p1_k225_c3_XXX00000000000000	p7_k228_c3_XXX00000000000000	15
p1_k225_c3_XXX00000000000000	p7_k34_c3_XXX000000000000000	60
p1_k225_c3_XXX00000000000000	p8_k246_c3_XXX00000000000000	5
p1_k225_c3_XXX00000000000000	p8_k69_c3_XXX000000000000000	5
p1_k225_c3_XXX00000000000000	p9_k293_c3_XXX00000000000000	5
p1_k250_c3_XXX00000000000000	p11_k103_c3_XXX0000000000000	5
p1_k250_c3_XXX00000000000000	p11_k224_c3_XXX0000000000000	60
p1_k250_c3_XXX00000000000000	p11_k255_c3_XXX0000000000000	25
p1_k250_c3_XXX00000000000000	p2_k31_c3_XXX000000000000000	5
p1_k250_c3_XXX00000000000000	p2_k62_c3_XXX000000000000000	5
p1_k250_c3_XXX00000000000000	p4_k105_c3_XXX00000000000000	5
p1_k250_c3_XXX00000000000000	p5_k149_c3_XXX00000000000000	5
p1_k250_c3_XXX00000000000000	p7_k228_c3_XXX00000000000000	60
p1_k250_c3_XXX00000000000000	p7_k34_c3_XXX000000000000000	60
p1_k250_c3_XXX00000000000000	p7_k57_c3_XXX000000000000000	5
p1_k250_c3_XXX00000000000000	p8_k23_c3_XXX000000000000000	5
p1_k250_c3_XXX00000000000000	p8_k44_c3_XXX000000000000000	5
p1_k250_c3_XXX00000000000000	p9_k170_c3_XXX00000000000000	5
p1_k255_c3_XXX00000000000000	p9_k170_c3_XXX00000000000000	5
p1_k293_c3_XXX00000000000000	p11_k103_c3_XXX0000000000000	5
p1_k64_c3_XXX000000000000000	p6_k206_c3_XXX00000000000000	5
p1_k66_c3_XXX000000000000000	p9_k44_c3_XXX000000000000000	5
p10_k263_c3_XXX0000000000000	p8_k104_c3_XXX00000000000000	40
p10_k60_c3_XXX00000000000000	p11_k103_c3_XXX0000000000000	5
p10_k60_c3_XXX00000000000000	p11_k198_c3_XXX0000000000000	5
p10_k61_c3_XXX00000000000000	p5_k66_c3_XXX000000000000000	5
p10_k62_c3_XXX00000000000000	p11_k103_c3_XXX0000000000000	5
p10_k62_c3_XXX00000000000000	p11_k224_c3_XXX0000000000000	5
p11_k103_c3_XXX0000000000000	p11_k81_c3_XXX00000000000000	5
